,,description,screen_name,name,location,created_at,retweeted_count,profile_image_url,text,allies
251,L,ELoE Supreme Dark Lord and bestselling philosopher. Lead Editor at Castalia House. Lead Designer at Alpenwolf. American Indian and La Raza Cósmica. #Gamergate.,voxday,Supreme Dark Lord,,Sun Apr 05 06:57:57 +0000 2009,212,http://pbs.twimg.com/profile_images/687604817573707776/u6IJTHGh_normal.jpg,"Migrants attack British fans returning from France and stone their cars. https://t.co/5XuM9f9lwY

BBC refuses to report for fear of #Brexit","['ohboywhatashot', 'GodfreyElfwick']"
252,N,"The UK's favourite morning news programme, every day from 6am on BBC One",BBCBreakfast,BBC Breakfast,"MediaCity, Salford",Thu May 13 12:01:01 +0000 2010,211,http://pbs.twimg.com/profile_images/344513261572634535/d211be598dcf8cb0cd7950af4d3a8c93_normal.jpeg,Alan Johnson sets out his ideas for tackling tackling #immigration from within the EU. #EUref https://t.co/MxPtbc1gpo,[]
253,L,,Geezajay2013,Geeza.  #Brexit,All My Views Are My Own,Sun Sep 15 18:10:23 +0000 2013,211,http://pbs.twimg.com/profile_images/692807325434929152/bkZOK0Im_normal.jpg,Ex Royal Navy submariner WW2 Leonard Moore died 91 years old. Last  wish 2 post his #Voteleave. Lets do u proud Sir. https://t.co/JcNzX4JCv0,"['00 reasons everyone should vote to LEAVE the EU on Thursday, can anyone think of more? #Brexit #LeaveEU #Freedom https']"
254,L,"We are Trade Unionists Against the EU, campaigning against EU neoliberalism, privatisation and austerity, and for a leave vote in the EU referendum.",ExittheEU,TUAEU,,Fri Nov 06 21:51:22 +0000 2015,210,http://pbs.twimg.com/profile_images/744500051477692416/Lr8gcZ-W_normal.jpg,The humiliation of Greece was an act of economic war by the EU. #VoteLeave #Brexit #EUref #Lexit https://t.co/0tNODL2a9q,"['BobKelly16', 'georgegalloway', 'labourleave']"
255,R,"I draw diagrams. Cycling cartoons https://t.co/vjSHEuvi4L. Church cartoons https://t.co/VyNysOe9Pz. Currently drawing 'The Cycling Cartoonist', published 2017.",davewalker,Dave Walker,Langdon Hills / Leigh-on-Sea,Wed Jul 18 21:18:35 +0000 2007,209,http://pbs.twimg.com/profile_images/740935181033480192/GYMRXBdU_normal.jpg,Cartoon: Reasons to vote 'Remain' #EUref https://t.co/QPpzUbh9Qi,[]
256,L,"Campaigned twice for Boris Johnson, now blog & tweet in his support. All comments and opinions my own. BLOG: https://cyberboris.wordpress.com",angelneptustar,angela,North London,Wed Jan 28 09:58:52 +0000 2009,209,http://pbs.twimg.com/profile_images/709655021617479680/y8oIH3JS_normal.jpg,"Disgusted at preaching of selfish John Barnes/Beckham,  I'm alright Jack attitude sucks! @BorisJohnson. #voteleave @vote_leave","['rjgfox', 'cordeiro876', 'vote_leave', 'Brutusmaximus', 'Stop_The_EU', 'VoteLeaveCymru', 'WillyGreyBin', 'toadmeister', 'CivitasEUFacts', 'spidieboy56', 'JoeThorpe1963', 'KayBurley', 'SmlBusinessUK', 'ampmdespatch', 'NadineDorriesMP', 'sarahjanesewell', '_HighPlaces', 'tontons1ST', 'chesterming88', 'DawnWestgate', 'BrianBartonMK', 'lollsandlotts', 'CWoodie49', 'angelaco3', 'Cricket4Britain', 'PaulDoughty1', 'sw4nvesta', 'FordySpurs', 'ago_biggles', 'lawyers4britain']"
257,L,Conservative Member of Parliament for Enfield Southgate,davidburrowesmp,David Burrowes,London,Fri May 22 21:08:27 +0000 2009,207,http://pbs.twimg.com/profile_images/378800000577163156/e16e929d3381a7ce3283e423078c190a_normal.jpeg,"Boris is right, only a tiny % of Commission officials come from the UK - and we elected none of them. #VoteLeave #bbcdebate","['SuellaFernandes', 'MartinDaubney', 'vote_leave']"
258,L,Christian. American Nationalist. Investment Banker. Liberty or Death. America Is Still Exceptional. Elect Trump and Paul Nehlen. #NeverHillary #DumpRyan,_HankRearden,American Hank,Colorado / DC,Thu Apr 24 13:09:22 +0000 2014,204,http://pbs.twimg.com/profile_images/691769217100730369/L5JCSy6C_normal.png,Free the West. #VoteLeave  https://t.co/8KMPSUGEsL,"['LolFishFail', 'JorgenFaxholm', 'realdealdanny', 'Bwsuperstar', 'kinni00', 'DanHannanMEP', 'fifi_j', 'NeilMarkFox', 'careerdr', 'Juliet777777', 'NetworksManager']"
259,L,Dagenham Born & Breed. Just a normal man living his life the best way he know's,ktf1965,Dagenham Man,,Mon Mar 16 09:02:20 +0000 2015,204,http://pbs.twimg.com/profile_images/730141890071298048/pHOcLQyt_normal.jpg,@MarrsioFootball @Peston @alexmassie @Nigel_Farage @pestononsunday shall we analyse where the #Remain camps money has come from,"['GrahamGtk1954', 'DVATW', 'ANDREASSTAVRI', 'bernerlap']"
260,L,Christian☆Conservative☆Pro-Life☆Pro-Israel☆ Anti-Islam☆Born and raised in the great USA! Daughter of WWII and Korean War Vet Dad and Marine Reserves Mom☆3 Boys♡,AMTrump4PRES,AM,❤God Bless America,Sat Nov 30 12:58:08 +0000 2013,202,http://pbs.twimg.com/profile_images/735104337857241088/SK_5utm5_normal.jpg,@DVATW He's a muslim plant who has already shown his true colors! #VoteLeave #Brexit,"['DVATW', 'RavenHUWolf', 'roomdesign3', 'NetworksManager', 'BellaSassin', 'yorkshireprobs', 'AMTrump4PRES', 'RaheemKassam']"
261,R,"University of Leeds student, digital media designer, Labour Party activist and former BRIT School student. Views my own. Showreel: http://youtu.be/uMGchxgZ-vY",Jack_Slater,Jack Slater,London,Sat Jul 30 14:53:55 +0000 2011,202,http://pbs.twimg.com/profile_images/708999707398254592/KVw9BgqQ_normal.jpg,"""Only by remaining in the EU and working together can we improve people's lives."" | @JeremyCorbyn #StrongerIN https://t.co/cboKSbCaBk","['EmWatson', 'BBCBreaking', 'ChukaUmunna', 'Harryslaststand', 'StrongerInPress', 'JonAshworth']"
262,L,"MP for South Northamptonshire.
Wife, Mother. Leave campaigner.
If I can help, please email or see my website.",andrealeadsom,Andrea Leadsom MP,Near Towcester,Wed May 06 21:28:42 +0000 2009,201,http://pbs.twimg.com/profile_images/741701078958280704/_XgmCrbO_normal.jpg,"Looking forward to tonight's #BBCDebate!
@vote_leave #VoteLeave #EUref https://t.co/QLKiGAzJav","['rayne_ea', 'lawyers4britain']"
263,N,http://Express.co.uk - Home of the Daily and Sunday Express,Daily_Express,Daily Express,London,Fri Dec 05 12:05:48 +0000 2008,201,http://pbs.twimg.com/profile_images/710375349264244736/-SBr-CdV_normal.jpg,EU referendum polls latest: #Remain camp slightly ahead but #Leave regains momentum https://t.co/F5E6eWEpGX https://t.co/isWQJ5vuUj,['Express_Pics']
264,L,Disimpacting the anus of popular culture with the long finger of satire!,Unnamedinsider,Unnamed Insider,UK,Tue Nov 02 11:23:05 +0000 2010,201,http://pbs.twimg.com/profile_images/686965792152260608/1Ja_qwv3_normal.jpg,"Michael Gove is threatening to quit David Cameron's cabinet over Brexit. For the first time ever, I fully support Michael Gove #EUref",[]
265,L,"Blog author. Studied Sunni Shafi'i Islamic scripture, fatwas, tafsir & sharia. EU is no longer a union of nations, it is a European Empire. #Voteleave",MattPope123,Matt Byles (Pope),"Saint Neots, England",Tue Feb 24 02:34:46 +0000 2015,200,http://pbs.twimg.com/profile_images/744238461268406272/ciV37p4m_normal.jpg,The remain campaign exploiting murder to push their own political agenda. Totally shameful. #VoteLeave,"['4MrBreitbart', 'sametoyoutoo', 'TeeHouse101']"
266,L,David Cameron and George Osborne impressionist. #Brexit #AltRight,BellaSassin,Bella Sassin,Strategic Ops HQ,Tue Feb 02 13:02:04 +0000 2016,198,http://pbs.twimg.com/profile_images/720176047296225280/uiKS1UwH_normal.jpg,Poor Dave. He really ought to put his crayons down. #Brexit https://t.co/Aj3YRwLuOR,['thierrybaudet']
267,L,"Stories from the British Biased Communication Propaganda Department. Not affiliated with any other organisation with a similar name.



If you like it, RT it.",BBCPropaganda,ⒷritainsⒷestⒸhoice,"London, UK",Tue Dec 20 22:30:45 +0000 2011,198,http://pbs.twimg.com/profile_images/701069171631779841/-dSfSyzU_normal.png,This is the truth vs the #ProjectFear on workers rights. #BBCDebate https://t.co/jN59wCnRmH,"['terrylawes', 'NCPoliticsEU', 'WestCapeTribune', 'EP_President', 'ExposingBBC', 'MarcherLord1', '50106019HIST', 'L4ughAtTheLeft', 'richie_1994wale', 'DrTeckKhong']"
268,L,"Senior political correspondent, Sky News. Formerly of the Times and FT. Likes running, binge-watching on Netflix & northern soul. https://t.co/77NZ7s56Cx",BethRigby,Beth Rigby,LONDON,Mon Feb 02 11:39:52 +0000 2009,197,http://pbs.twimg.com/profile_images/725654576/bethtweet_normal.jpg,48 hours to go and David Beckham comes out for #remain. Public don't like experts but they do like him! &gt;  https://t.co/f1lfV0f8ih,"['vote_leave', 'MattGarrahan', 'petepaphides', 'chridgriebe', 'StrongerInStA', 'Jack_Blanchard_', 'SkyNews', 'skynewsniall']"
269,L,"See evil, hear evil, speak about evil. We analyse and comment on political and social issues which affect the UK. Backed up by facts, evidence and data.",wisermonkeys,Wiser Monkeys,United Kingdom,Sat Sep 12 15:35:10 +0000 2015,197,http://pbs.twimg.com/profile_images/642845696681463808/hxLSuyGJ_normal.png,"Suppose we were JOINING the EU
Would you or your family accept these terms?

https://t.co/OQRu9rFIfq 
#EUref #Brexit https://t.co/VIvcZOXYsO","['Charlton_UKIP', 'bernerlap', 'theordinaryman2', 'LeaveEUOfficial', 'BrexitNoww', 'davidroachcouk', 'MrRed1865']"
270,L,Im a supporter and member of UKIP Since 1993.Supporters that follows me i will follow back Pro israel i'm happy to discuse with anyone But will BLOCK Rude ppl,busybuk,CHRIS BYRNE UKIP,Surrey,Fri Aug 24 08:13:30 +0000 2012,196,http://pbs.twimg.com/profile_images/674710999434330117/jeTdJoUk_normal.jpg,Sir Bobby Charlton Comes out to #Voteleave https://t.co/qhtd1WU6hX,"['Excalibur57X', 'Jenikay_1', 'JasonEdgington3', 'UKisTired']"
271,L,"Apparemment négative, puisqu'elle ne crée rien, LA RÉVOLTE est profondément positive puisqu'elle révèle ce qui, en l'homme, est toujours à défendre. Camus",OFrancois60200,OlivierFrancois6020ن,,Mon Apr 15 16:11:30 +0000 2013,196,http://pbs.twimg.com/profile_images/3659384560/a646b4eb64e3831e6314c6833332b104_normal.jpeg,"Michel Rocard : ""L'Europe c'est fini, on a ratÃ© le coche""
Eh oui, aprÃ¨s l'heure, c'est plus l'heure
#LEAVE
https://t.co/PecRaJCONo via @LObs","['OFrancois60200', 'GrahamGtk1954', 'vote_leave']"
272,R,"Proud European & Englishman.Libdem. Left school at 16, thankful for the opportunities & freedom that EU membership have given me.",trevdick,Trevor Stables,Europe,Sat May 08 14:08:21 +0000 2010,195,http://pbs.twimg.com/profile_images/697413197033115648/QQZOSFod_normal.jpg,Johnson speaks up for chaos!  #VoteRemain https://t.co/mpax3WKghP,"['trevdick', 'PhilipCJames', 'julie4nw', 'LisaBloor', 'Cooperator1', 'GuyVerhofstadt', 'johnbozzers', 'NewEuropeans', 'RCorbettMEP', 'jk_rowling', 'InFactsOrg', 'Havering_In', 'margarance', 'Bakehouse2016', 'captaineuro', 'Xians4EU', 'RickPoleway', 'HulbertMathew', 'MartinBattey', 'Krys2549', 'qshammer', 'itvnews', 'timfarron', 'MissMillicent', 'scotlibdems', 'LibDems', 'LDINtogether', 'lesbonner', 'StrongerInPress', 'edvaizey', 'ProfTomkins', 'samueljenkinson', 'jelle_simons', 'CER_IanBond', 'MarkBartlam', 'portsmouthld', 'stevebeasant', 'mediawhizz', 'LiberalIsland', 'RTaylor_LibDem', 'cmrwdk', 'divor1987', 'HornyToed', 'Brigid_Fowler', 'politikcat', 'SalBrinton', 'susana_mendonca', 'AttackDog4InEU', 'BelindaBG', 'billiepiper', 'LorraineJohnson', 'JamesMcGrory', 'HertsSUGrainne', 'JamieLibDem', 'dkeene', '38_degrees', 'nick_clegg']"
273,N,Breaking news and features from the WSJ.,WSJ,Wall Street Journal,"New York, NY",Sun Apr 01 06:22:13 +0000 2007,195,http://pbs.twimg.com/profile_images/685113343204585473/jV72Zljq_normal.jpg,"The #Brexit vote, whatever the outcome, has fired up anti-Brussels forces across Europe. https://t.co/vv4SrpNtei https://t.co/RzgoggGc2S",['WSJvideo']
274,N,"Sharing nature stuff, stories & news from The Wildlife Trusts - our goal is nature's recovery on land and at sea. Tweets by TWT comms team.",WildlifeTrusts,The Wildlife Trusts,"UK, Isle of Man and Alderney",Thu Jul 16 12:22:47 +0000 2009,194,http://pbs.twimg.com/profile_images/732220948917583872/xrt7sxwW_normal.jpg,The environment is missing from the #EUref debate but it’s too important to ignore. Evidence and further links: https://t.co/AdTcLcIDgA,[]
275,N,"Chief Economist @UNUWIDER, but otherwise human. Tweeting on anything I fancy. Tweets my own. εἰρωνεία alert",TonysAngle,Tony Addison,"Helsinki, Finland",Thu Aug 21 07:43:44 +0000 2014,193,http://pbs.twimg.com/profile_images/502379596742807553/8_ysjKY-_normal.jpeg,Demolition of idea that #Brexit will help end #Eurozone austerity@sjwrenlewis https://t.co/2ANukcH5qT #StrongerIn https://t.co/POqtXIPStp,['COdendahl']
276,L,".Prominent Conservative activist . Award winning CPF Group Chm. Secretary, Yorkshire CPF . Sec. Beeston Forum. Chairman. Beeston N'hood Forum. All views my own",RobertWinfield2,Robert Winfield,Leeds ,Fri Oct 05 06:57:01 +0000 2012,192,http://pbs.twimg.com/profile_images/3021112020/1216b7e9eef4a3b0b982552f716b858c_normal.jpeg,@theoude notes that the EU is only 8% of the world's. population #EUref,"['QuantumOverlord', 'joe_pattinson', 'chrisg0000', 'j30moo', 'muheedjeeran', 'literallylucy1', 'popelancaster', 'andrealeadsom', 'HeatherWheeler', 'SkyNews', 'Ribenageorgina', 'HarrietSergeant', 'Y_Eurosceptics', 'A_Tsatiashvili', 'Robbo1992x', '_hanimustafa', 'voteleaveyorks', 'AmyLeedsTory', 'ChloeVotesLeave', 'TheaDickinson', 'sarahjanesewell', 'SteveBakerHW', 'Vote_LeaveMedia', 'VoteLeaveCroy', 'WomenforBritain', 'tomchapman16', 'AlexandralSwann', 'theoude', 'AmandeepBhogal', 'avemariarebecca', 'Barnesy19', 'vote_leave', 'Jeansmart45Jean', 'HJMacManus', 'johnlgough', 'AubelFelix', 'Mike_Fabricant', 'matthewjsnape', 'LouiseMensch', 'yorkshirebec', 'LadyIsabella81', 'bernerlap']"
277,L,Director of Sharia Watch UK http://www.shariawatch.org.uk        http://www.breitbart.com/author/anne-marie-waters-2/ Views my own.,AMDWaters,Anne Marie Waters,England ,Sat Jan 29 10:16:46 +0000 2011,192,http://pbs.twimg.com/profile_images/674244664980021248/YP0wlSdG_normal.jpg,"Turkey is clearly not European. Its an oppressive increasingly totalitarian nightmare dominated by Islam. Oh wait... 
#VoteLeave","['MancZombie', 'GodfreyElfwick', 'vote_leave', 'Bad_Sweary_Frog', 'LeaveEUOfficial', 'alhank78', 'EnglishTommy1', 'TeeHouse101']"
278,N,146% of Russians didn't elect me. The Soviet Foreign Ministry @mfa_russia banned me as they sound more like a parody than I do.,DarthPutinKGB,Darth Putin,"Moscow, Ukraine, Syria, Turkey",Mon Nov 19 12:09:43 +0000 2012,192,http://pbs.twimg.com/profile_images/614718775049482240/JBrsSPbV_normal.jpg,The difference between #Brexit &amp; Crimea referendums. https://t.co/7Y0f7QRTtj,['Novorossiya_PR']
279,L,"Member of Parliament for Copeland. Red Leader, Rebel Alliance",jreedmp,Jamie Reed,Whitehaven / Westminster,Wed Sep 15 16:49:31 +0000 2010,191,http://pbs.twimg.com/profile_images/685511763647922176/tq39-loo_normal.jpg,"#BBCDebate Sadiq 100% right. We're stronger, safer and better off in Europe.
#StrongerIn","['andybell5news', 'ChukaUmunna', 'StrongerIn', 'bengoldacre', 'KateEMcCann', 'Bonn1eGreer', 'RhonddaBryant', 'CHazelgrove', 'billiepiper']"
280,R,"Perfil oficial de noticias del Ayuntamiento de Madrid. Los avisos, sugerencias y quejas sobre servicios municipales se atienden en @Lineamadrid.",MADRID,Ayuntamiento Madrid,Madrid. España,Tue Mar 06 22:31:56 +0000 2007,191,http://pbs.twimg.com/profile_images/739878271140155392/QfDq4miq_normal.jpg,".@Madrid con los colores de  ðŸ‡¬ðŸ‡§ por su permanencia en la UE. We are all safer, better off and #StrongerIn Europe. https://t.co/Xjv4HyzF4W",[]
281,R,"21 • lover of burritos, winged eyeliner, general sciences and travelling •",evangeliney0ung,Evie Young,,Sat Sep 07 15:22:51 +0000 2013,190,http://pbs.twimg.com/profile_images/744259501499490304/fgwvVjbt_normal.jpg,Yeah I'm sure your apology will mean so much when everyone's losing their jobs #brexit #voteremain https://t.co/gEsIwhsSsI,"['hxrrywxlsh', 'saltandchic']"
282,R,"Fan of Everton. The Smiths. Partridge. Brent. - Not my words Michael, the words of Shakin' Stevens.",iamconnaugh,Con.,,Thu Sep 20 17:36:45 +0000 2012,190,http://pbs.twimg.com/profile_images/629416968781721600/7MuhDnjM_normal.jpg,A 90 year old can vote and drop dead the next day but a 16/17 year old can't vote on something that will affect them for decades. #EUref,[]
283,L,Passionate about our country & the corruption in politics.. ❤Music Heals the Soul❤ ✌ Follow for #VoteOUT #LeaveEU Celebrate together 24th!,SamanthaLouize7,Samantha Chandler,"England, Kent",Wed Sep 09 16:18:59 +0000 2009,190,http://pbs.twimg.com/profile_images/734066475254829056/JygknJ-L_normal.jpg,#VoteLeave This is OUR one &amp; ONLY chance to get out of the corruption of Brussels. #EUref https://t.co/StLnmadOM8,"['55Massey', 'Aranadin', 'LouiseMensch', 'answerability', 'anonmonstar', 'tonelew', 'DavidMurphy27', 'Manville54', 'fpender1', 'vote_leave', 'Aussies4Britain', 'Vote_LeaveMedia', 'Markit_tweet', 'BBCNews', 'acrowotdude', 'uniforbritain', 'DVATW', 'Mike_Fabricant', 'WritingSupplier', 'pnct101']"
284,L,"Journalist & web editor at @JewishNewsUK. My views etc...... For incessant cricket tweeting, follow @jackmendel4",Mendelpol,Jack Mendel,,Sun Jun 22 08:20:16 +0000 2014,189,http://pbs.twimg.com/profile_images/729791417363607552/pMlCiGFK_normal.jpg,Michael Gove claims @officialbarnesy is for #Brexit. He confronts him on air. Good on Jon Barnes. *Outrageous* chutzpah form a Gov minister,['jreedmp']
285,R,"Femme d'un certain âge, happily married, four kids hither & yon, English rose, now flowering in France. Slacktivist. #RemainEU",margarance,Margaret,Europe,Sat Nov 29 10:14:37 +0000 2008,189,http://pbs.twimg.com/profile_images/728202158437376000/D1rrKITz_normal.jpg,@Nigel_Farage So 75% of schools have places available? That's your big argument?  Wow. Totally unimpressed. You're fired! #RemainEU,"['DickGraceless', 'JonathanPlaid', 'AntonyCarville', 'LitChick79', 'margarance', 'MSharmaBarrow1', 'JQuinlan1', 'RCorbettMEP', 'PA', 'wdjstraw', 'Untidy_mind', 'SixVpf', 'jelle_simons', 'AndrewIMarshall', 'chelleryn99', 'lucycthomas', 'nickhopkinsonEU', 'leobarasi', 'TonysAngle', 'Otto_English', 'AttackDog4InEU', 'uktostayeu', 'bobwalteruk', 'historymatt', 'StrongerInPress', 'richardbranson', 'captain_europe', 'AndrewAtter', 'CER_Korteweg', 'GibStrongerIN', 'AranchaGlezLaya', 'johnprescott', 'john3ners', 'maiantra', 'politicsastar', 'sizjam68', 'DidEUKnow', 'BrancoCarmine', 'WestlundMartin', 'theskibeagle', 'SWStrongerIn', 'David_Cameron', 'madasbof1', 'philtherapy', 'PhilipCJames', 'victoriabeckham', 'EmWatson', 'InFactsOrg', 'HulbertMathew', 'singebruyant', 'Harryslaststand', 'BethRigby', 'William_Bain', 'Brand_EU', 'UKIPNFKN', 'catherinemep', 'sarniejewell', 'SarahLudford', 'realdavedoubleu', 'CER_IanBond', 'hazelglasgow', 'poetclaire', 'niamhbroderick', 'UKLabour', 'MarkBartlam', 'sbabs90', 'NickyMorgan01', 'GrayGray83', 'MsMottram', 'MirandaGrell', 'Grumpyoldexpat', 'WeAreTheMU', 'StrongerIn', 'RhonddaBryant', 'al_yaqout', 'kevtufc', 'Marthalanefox', 'Bakehouse2016', 'trevorw1953', 'Another_Europe', 'DSORennie', 'UK_Must_Remain', 'johnvanreenen', 'jacquep', 'ZoeJardiniere', 'Fionna_T_', 'PenPendragon', 'trevdick', 'JamesMelville', 'weareeuropeuk', 'BBCr4today', 'HantsEuroMove', 'WMidsStrongerIn', 'theresecoffey', 'Jack_Slater', 'adaroc', 'Delna_42', 'Brexpats', 'nickherbertmp', 'Anjijoseph91', 'SolschVoteStay', 'The_TUC', 'RickPoleway', 'dominicpatters', 'VirendraSharma', 'GetYourJezOut', 'JordonLee', 'djsway', 'lasancmt', '38_degrees', 'StrongerSwINdon', 'stephane_ulrich', 'mehdirhasan', 'amyhsrichards', 'RonanLTynan', 'Mylegalforum', 'sturdyAlex', 'Bonn1eGreer', 'HistoryNeedsYou', 'LorraineJohnson', 'The_Duality', 'ConservativesIN', 'hannagw', 'ViceroyFrederic', 'WilliamsJon', 'TomLondon6', 'SamGyimah', 'KarenKintyre11', 'jennywoolf', 'GeorgeAylett', 'lydiapaynter', 'FrancesOGrady', 'nat_jansen', 'iWoking', 'Wake_up_Europe', 'polnyypesets']"
286,R,"Dad, Labour MP for Leicester South, member of Labour Party NEC & Shadow Cabinet Minister Without Portfolio",JonAshworth,Jonathan Ashworth MP,Leicester,Wed May 12 22:16:37 +0000 2010,188,http://pbs.twimg.com/profile_images/719295951404281856/R7ZRhhpg_normal.jpg,Boris is getting destroyed in this debate #EUref #BBCDebate,[]
287,R,"Twitter oficial del PSOE. Recuperación justa, empleo digno, igualdad, sanidad y educación públicas, +democracia y un Gobierno limpio con #PedroPresidente",PSOE,PSOE #LaGentedelSí,España,Fri Jun 26 08:48:42 +0000 2009,187,http://pbs.twimg.com/profile_images/731995439470366720/9JRDeHwA_normal.jpg,".@SanchezCastejon defiende la permanencia del Reino Unido en Europa @CCEuropa  #StrongerIN #EuropeLovesUK #Brexit
https://t.co/XaaGHjWdyG",[]
288,L,Classical Liberal,toadmeister,Toby Young,London,Fri Jan 09 18:31:18 +0000 2009,186,http://pbs.twimg.com/profile_images/652514875726364672/vLJJ5vLh_normal.png,.@RuthDavidsonMSP wrong about %age of UK laws made in EU. In 2010-13 it was 59% according to the House of Commons library #VoteLeave,"['VoteLeaveCymru', 'GilesSkyNews', 'CivitasEUFacts', 'Civitas_UK', 'beleaveuk', 'VintageCornwall', 'KnewLabour', 'MitchellGoldie']"
289,N,"Eat, sleep, play football… Check out my #Euro2016 edits, requests welcome…",PayetForward,Payet Forward,,Tue Sep 22 20:02:17 +0000 2015,186,http://pbs.twimg.com/profile_images/744597501903278080/Xt6uGbf8_normal.jpg,"Should the UK remain or leave the EU?

RT to see more votes, poll closes at 7am Thursday #Brexit",['PayetForward']
290,L,"President of The @Heritage Foundation, former U.S. Senator (R-S.C.), father of 4, author of Falling in Love with America Again.",JimDeMint,Jim DeMint,,Wed Oct 17 22:26:53 +0000 2007,186,http://pbs.twimg.com/profile_images/700323705281339394/tdx4s8yd_normal.jpg,"If the British people seize the day and break free of the EU, this should be a cause for celebration—on both sides of the Atlantic. #Brexit",[]
291,R,"Writer. Books include What a Wonderful World, We Need to Talk About Kelvin, Quantum Theory Cannot Hurt You & Solar System for iPad",marcuschown,Marcus Chown,London,Wed May 06 15:40:19 +0000 2009,186,http://pbs.twimg.com/profile_images/681518625090580480/BJUBjRiS_normal.jpg,We can live in UK at mercy of Tories or we can live in UK where the worst excesses of the Tories are curbed by European law #EUreferendum,"['BiancaJagger', 'fleetstreetfox', 'InFactsOrg', 'Mylegalforum', 'cpeedell']"
292,R,Member of Parliament for Loughborough. Casework to nicky.morgan.mp@parliament.uk please,NickyMorgan01,Nicky Morgan,Loughborough,Fri Apr 24 14:36:16 +0000 2009,185,http://pbs.twimg.com/profile_images/737554520037691392/9H8OKx9J_normal.jpg,Tonight the Leave campaign had last chance to set out their plan for Britain's future outside Europe on our own. They failed. #VoteRemain,"['ConservativesIN', 'theresecoffey']"
293,N,@BuzzFeedUK Scotland correspondent. Please send all tips and abuse to jamie.ross@buzzfeed.com.,JamieRoss7,Jamie Ross,Edinburgh,Mon Feb 02 19:45:56 +0000 2009,185,http://pbs.twimg.com/profile_images/558376562869813248/QSpyLLAb_normal.png,There are 2 days to go and the #EUref debate in Scotland has never really got beyond some furious opinions from fishermen.,['RedHotSquirrel']
294,R,The best place to find out what’s new in science – and why it matters. To subscribe go to: http://bit.ly/1oRKZ3H,newscientist,New Scientist,Worldwide,Wed Jan 28 16:05:49 +0000 2009,184,http://pbs.twimg.com/profile_images/464088830509731840/e92TpMR9_normal.png,Humanity has been on the move for millennia and migration has made us what we are today #EUref https://t.co/Svj4XJ4zmi,[]
295,L,"Common sense views on politics & EU.

More I read on EU more I am #No2EU & #Brexit",PoliticsSense,PoliticsSense,,Sun Apr 26 16:29:46 +0000 2015,184,http://pbs.twimg.com/profile_images/631552764368306177/0ek3a3O__normal.jpg,Message to Ruth Davidson. I'm voting #Leave KNOWING David Cameron will be out of a job  #BBCDebate,"['NOTTHESAMEAGAIN', 'Dwalingen', 'LouiseMensch', 'pimpmytweeting', 'chrisg0000', 'LeaveEUOfficial', 'flyingfury1940', 'LPerrins', 'LiamFoxMP', 'JerraldCoe', 'ramcc86', 'JamesG23522479', 'Civitas_UK', 'RichardKing633', 'theordinaryman2', 'Patriotic_Brit', 'NadineDorriesMP', 'WendyM53', 'DavidJo52951945', 'DaveT100', 'CrypticPsypher']"
296,R,"'We are far more united, have far more in common, than that which divides us'. Jo Cox, Labour MP.",MxJackMonroe,(((mx jack monroe))),,Fri Mar 02 23:21:07 +0000 2012,184,http://pbs.twimg.com/profile_images/734899665662050304/4PDfvWZJ_normal.jpg,Coming home from #EURef @BBCNewsnight to see folks in hi-vis jackets hanging #Pride flags for #PrideinLondon high above Oxford Street â�¤ðŸ�ŠðŸ’›ðŸ’šðŸ’™ðŸ’œ,[]
297,N,"World politics & Economy. Progressivist. Eurozone analyst. @Nieuwsuur, @zeitonline, @ntvde contributor",YanniKouts,Yannis Koutsomitis,Athens · Berlin · Brussels,Sat Sep 26 17:37:32 +0000 2009,184,http://pbs.twimg.com/profile_images/744230295646281728/LIM_ITyK_normal.jpg,"#EUref poll [@Survation, phone, excl DKs]:
Remain 51%
Leave 49%

Survation pollster says ""it's too close to call"" https://t.co/sMciAQRB12",['KGravas']
298,L,A Global citizen based in UK. Interested in Humanity. We are all created with the will & power to do Good or Evil; the choice is yours. RT / Like not = Approval,femiokes,Olufemi Okeniyi,"London, UK",Mon Apr 13 08:41:18 +0000 2009,184,http://pbs.twimg.com/profile_images/696644825358168064/Wh9PWVpI_normal.jpg,Those who learn nothing from history are condemned to making mistakes of the past. Arguments &amp; Warnings were Same but Dismissed #Voteleave,"['Fight4UK', 'DrTeckKhong', 'RedHotSquirrel', 'LPerrins', 'landloulou', 'DNA_Cowboy', 'manof_kent', 'JulesSunbeam', 'roygsymonds', 'theordinaryman2', 'SocialistVoice', 'peterjukes']"
299,N,"China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V",XHNews,China Xinhua News,"Headquartered in Beijing, PRC",Thu Feb 09 01:10:18 +0000 2012,183,http://pbs.twimg.com/profile_images/570560881071640576/8LB1WXsm_normal.jpeg,"#China, #EU initiate dialogue mechanism concerning legal affairs https://t.co/e4qydF7fi3 https://t.co/FE6b5kr1Dt",[]
