,affiliation,friends_count,favourites_count,description,screen_name,geo_enabled,lang,verified,time_zone,statuses_count,followers_count,following,name,location,created_at,retweeted_count,profile_image_url,text,allies,new_text,new_retweet_count,new_created_at
78,R,773,76,The Conservative campaign to support the UK remaining in a reformed EU.,ConservativesIN,True,en,False,London,2641,4504,,ConservativesIN,,Sat Jan 16 15:46:00 +0000 2016,657.0,http://pbs.twimg.com/profile_images/707241468373536770/iIVprePY_normal.jpg,The U.K. is not part of the Schengen passport free area - so we have control of our borders #BBCDebate #StrongerIn,"['PA', 'StrongerInPress', 'JustineGreening', 'Students4Europe', 'victoriabeckham', 'George_Osborne', 'BBCNews', 'nickherbertmp', 'CharlotteV', 'SkyNews', 'lucycthomas', 'wdjstraw', 'trussliz', 'theresecoffey', 'ben4ipswich', 'DamianCollins', 'NickyMorgan01', 'SamGyimah', 'nickeardleybbc', 'suttonnick', 'BBCNewsnight', 'RobertJenrick']",RT @nickherbertmp: I'm proud of our team &amp; sorry we did not succeed - but now we come together with fellow Conservatives &amp; help take our co…,10,Fri Jun 24 08:12:55 +0000 2016
79,L,500,68,"Old Whig. Columnist with CapX, ConservativeHome and the Washington Examiner. Conservative MEP. Author of Why Vote Leave. https://t.co/6rU0NvpGbS",DanHannanMEP,True,en,True,,12074,78342,,Daniel Hannan,,Wed Oct 28 11:18:28 +0000 2009,649.0,http://pbs.twimg.com/profile_images/713039407415209985/m09ripM-_normal.jpg,"""Would anything cheer you up, @RealGrumpyCat?""
""Only one thing: getting out before the EU collapses!""
#VoteLeave https://t.co/YlfcrJIQLJ","['maticatradio', 'reactionlife', 'NebojsaMedojevi', 'beleaveuk', 'SpectatorEvents', 'medicine_maker', 'StephenNolan', 'vote_leave', 'DzDownUnder', 'Maccabee3Star', 'AmandeepBhogal', 'mark4dewsbury']",deleted,deleted,deleted
80,L,163,19,Conservative Member of Parliament for Aldershot. Former Defence Minister. Aviation enthusiast.,geraldhowarth,True,en,True,London,615,6338,,Sir Gerald Howarth,Farnborough/Aldershot,Wed Jan 27 13:24:32 +0000 2010,631.0,http://pbs.twimg.com/profile_images/658732171/Picture_58_normal.png,Standing ovation for Boris Johnson #VoteLeave #ProjectHope #bbcdebate,"['vote_leave', 'SteveBakerHW', 'SuzanneEvans1', 'DVATW']",Please see below for my final contribution to the House of Commons: https://t.co/hgWHNAJ8PD #thissceptredisle #Aldershot #conservatives,4,Thu Apr 27 10:37:55 +0000 2017
81,L,8621,3028,"The World stands on the brink of a collective awakening! More people everyday realise something is not right, not sitting comfortably in their hearts! Awaken",Australiaunwra6,False,en,False,,13361,9048,,David Peterson,,Wed Jan 06 09:44:05 +0000 2016,630.0,http://pbs.twimg.com/profile_images/714444107423330304/gfE7Eqaj_normal.jpg,Time to brick up the channel tunnel ? #Brexit,"['unslaving', 'wisshann', 'twitchicken', 'Stroopdoos', 'luvmigurls', 'ira_tenax', 'Snoddbadd', 'laurenkaine', 'junglebuggz', 'Yoridoo', 'crankyallAnimal', '1947waveney', 'rubraduke', 'AnonymusPersona', 'GT_Tiger', 'AndresRosea', 'JohnAHale', '23Jfreedom', 'MarieBeryl', 'The_Leaver', 'sleddogteam', 'PaulineMCooper', 'Australiaunwra6', 'EDUstudies', 'miketribe66', 'thebobnotes', 't5monkey', 'turtlesisland', 'sja123', 'KevinLeary9', 'MsCatieMaxx', 'El_Lobo_14', 'danny1979', 'Leavethe_EU', 'Saxondragon', 'CllrCorkindale', 'tudorrose16', 'SCG_UK', 'SileER', 'RedHotSquirrel', 'HongPong', 'scottspeig', 'tartyblanche', 'puffin1952', 'DebEDaniels', 'AmalReetpet', 'JorgenFaxholm', 'DavidCockerham', 'NOTTHESAMEAGAIN']",RT @PublicDomainPho: The Ultimate guide to taking the perfect picture of the moon - step by step guide #photography #photographers #photogr…,13,Fri Apr 06 09:02:06 +0000 2018
82,R,6088,7446,"Yorkshire & Humber MEP. Deputy Leader of Labour MEPs. Vice-Chair UK @euromove, euromyth-debunker. My app is Doorstep EU. RTs aren't endorsements. #StrongerIn",RCorbettMEP,True,en,True,London,7007,15972,,Richard Corbett,Yorkshire,Fri Apr 12 16:54:22 +0000 2013,628.0,http://pbs.twimg.com/profile_images/674183055880273920/a9jrzC6o_normal.png,Look forward to this evening's debate in Batley on #EUreferendum and paying tribute to Jo Cox https://t.co/d1PsMOuU2X,"['JonnySongs', 'OssettObserver', 'ikramofficial', 'HullsEnterprise']","The NUS backs a people’s vote on final #Brexit deal
 @InFactsOrg
 https://t.co/ZAnkukeGkH",89,Sun Apr 08 19:55:04 +0000 2018
83,R,287,32857,,junayed_,False,en,False,London,3475,63251,,J. Ali,,Tue Jan 24 23:20:30 +0000 2012,601.0,http://pbs.twimg.com/profile_images/723217200161644544/XJYHohI1_normal.jpg,"And that is why he's the Mayor of London. #VoteRemain
https://t.co/f1Z3UbEhRq","['conscsc', 'WombleBexy', 'Dav350_']","RT @JimMFelton: If you want to know how thick Britain First are, they're openly calling their own messages hate messages. https://t.co/oJFN…",11307,Wed Nov 29 17:20:17 +0000 2017
84,L,128,149,Author and Commentator PhD LLM #SignificanceOfBorders Founding Director of the Forum for Democracy @fvdemocratie,thierrybaudet,False,en,False,,1128,17477,,Thierry Baudet,"Amsterdam, Netherlands",Sun Sep 04 12:25:52 +0000 2011,593.0,http://pbs.twimg.com/profile_images/719484568647151616/UMR5c17W_normal.jpg,A brilliant Dan Hannan #VoteLeave  https://t.co/9w4tEgN4a5 via @youtube,"['malcolmcameron7', 'vote_leave', 'YanniKouts']",RT @danielmgmoylan: @DouglasCarswell Hilarious to watch @BBCNews announce Orban victory this evening and then run a package obviously recor…,24,Sun Apr 08 22:00:13 +0000 2018
85,L,8549,41731,Photographer. #UKIP supporter. Liberal Libertarian - Globalist - Save #Dawlish line! #BRFC @Rovers - Disabled - Anti-#TTIP Pro-#Israel Anti-#EU #VoteLeave,ThomasEvansGB,True,en,False,London,170699,7876,,Thomas Evans,England,Fri Jun 26 13:18:48 +0000 2009,568.0,http://pbs.twimg.com/profile_images/731128070145351680/luFaiPwe_normal.png,"""Rest in Power"": Corporate Spin Doctors Take Control of Cox Image https://t.co/Rvqp1sGuiB via @GuidoFawkes #EUref","['CEO4TAG', 'SuzanneEvans1', 'dazeoff', 'r2ssnc', 'danedweller', 'JoeWatts_', 'vote_leave', 'dobbs_michael', 'BBCBreakfast', 'lawyers4britain', 'SuellaFernandes', 'JuniorBez1997', 'MercianSaxon', 'oflynnmep', 'yorkshirebec', 'SkyNewsBreak']","Can't have celebrities getting sub-par treatment that us mere commoners get now can we?! 😯

Ipswich Hospital review… https://t.co/Wx0oxGrCOs",3,Mon Apr 09 00:18:58 +0000 2018
86,L,195,1096,A cross-party campaign giving a voice to the Young Eurosceptics of Britain. #VoteLeave Join our campaign or let us join yours: youngeurosceptics@gmail.com,Y_Eurosceptics,True,en-GB,False,,4728,8019,,Young Eurosceptics,,Mon Aug 10 20:58:51 +0000 2015,568.0,http://pbs.twimg.com/profile_images/665239923818176512/oxq6zdGu_normal.jpg,We've lost around 75% of cases in the European Court of Justice. #VoteLeave #BBCDebate,"['suttonnick', 'vote_leave']","Nissan, Toyota and Vauxhall have all now announced important investments in the UK post the referendum. Remain clai… https://t.co/ujuVxvYgrC",27,Fri Apr 06 08:14:05 +0000 2018
87,L,339,857,Brexiteer promoting a market solution to EU exit. Fellow of the @ASI. Tech PM. Twitter alias named after ERM exit on 16/09/92. euexit@gmail.com,WhiteWednesday,True,en,False,London,56341,2478,,Roland Smith,"Chiltern Hills, Bucks",Wed Nov 04 21:11:51 +0000 2009,568.0,http://pbs.twimg.com/profile_images/714370086673465344/5LFVqKQF_normal.jpg,#BBCDebate https://t.co/sZoZ7MgDQs,"['A_Liberty_Rebel', 'LBC', 'JohnRentoul', 'minefornothing', 'LouiseMensch', 'BardenGridge', 'PeteNorth303', 'asabenn', 'DominicFarrell', 'WhiteWednesday', 'Akabilky', 'paulrey99', 'TheScepticIsle', 'JonHolb', 'lawyers4britain', 'Stronger_ln', 'SamHooper', 'Gerald_Ashley', 'COdendahl', 'simonjhix', 'Survation', 'lostleonardo', 'CharlesCrawford', 'Jackal854', 'CJCHowarth', 'toadmeister', 'PollstationUK', 'TheSun', 'cmackinlay']","If seeking the original @whitewednesday, please visit @rolandmcs",0,Mon Jul 25 08:31:58 +0000 2016
88,R,3696,10,"First Minister of Scotland, @theSNP Leader and MSP for Glasgow Southside.",NicolaSturgeon,False,en,True,Edinburgh,13855,315410,,Nicola Sturgeon,"Glasgow, Scotland",Tue Jun 29 15:25:42 +0000 2010,564.0,http://pbs.twimg.com/profile_images/733996549445849088/Q5tV3iCu_normal.jpg,No doubt at all that @SadiqKhan @RuthDavidsonMSP @FrancesOGrady won #BBCDebate hands down tonight. Powerful case for #VoteRemain #EUref,['theSNP'],@thehistorytwins nice to see you!,2,Sat Apr 07 13:57:12 +0000 2018
89,L,152,1037,"#transgender [omitted] Muslim druid. Voted 'Black Woman of the Year 2015' #WrongSkin #racefluid #ElectroFolk 
'a fuckin genius' - @Glinner",GodfreyElfwick,False,en,False,London,2516,17795,,Godfrey Elfwick,The Path to Enlightenment,Wed Nov 18 09:20:14 +0000 2015,564.0,http://pbs.twimg.com/profile_images/695598151210766336/szAR74-r_normal.png,Not controlling immigration and allowing anyone into the UK is the only sensible way we can show the world how unracist we are. #EUref,[],deleted,deleted,deleted
90,R,7661,3744,Mayor of London. #TeamKhan,SadiqKhan,True,en,True,London,20268,205384,,Sadiq Khan,"Tooting, London",Fri Jan 23 15:21:58 +0000 2009,560.0,http://pbs.twimg.com/profile_images/744676133157879808/0orYkr76_normal.jpg,"Making the positive, patriotic case for remaining in the European Union in today's @standardnews #StrongerIn #EUref https://t.co/8WPDW2BxX4",[],No Londoner should be left behind. Our £45 million Young Londoners Fund is designed to make sure all young Londoner… https://t.co/zFJ5WKBMsW,72,Sun Apr 08 19:35:26 +0000 2018
91,R,241,6770,"Senior Research Fellow, European Institute, London School of Economics (@LSEE_LSE) / Balkans Turkey Greece Cyprus / EU Enlargement / Secession & Recognition #IN",JamesKerLindsay,False,en,False,London,9058,5847,,James Ker-Lindsay,"London, UK",Sat Sep 01 07:05:35 +0000 2012,533.0,http://pbs.twimg.com/profile_images/641143840368410624/JGh9o9vO_normal.jpg,#EURef now attracting huge interest worldwide. My comments on how it came about and its impact for #EU @AJBalkans https://t.co/MdQ2DIfBNG,['LPNorthover'],@DarioBrentin @Arbeitmann @IJHSofficial @routledgebooks Excellent. Many congratulations!,0,Sat Apr 07 10:07:03 +0000 2018
92,L,2914,662,Well-travelled geopolitics aficionado  and a strong supporter of Britain's exit from the EU. #MyViews. RTs and Follows are not endorsements,RedHotSquirrel,True,en,False,London,200267,15289,,Robert Kimbell,England,Mon Apr 16 17:34:23 +0000 2012,522.0,http://pbs.twimg.com/profile_images/535514714881536000/zOYQZBeL_normal.jpeg,Pew Research Centre says that just 27 percent of Greeks surveyed have a favorable opinion of the EU. We are NOT alone! #VoteLeave,"['Coral', 'Trev_Forrester', 'Y_Eurosceptics', 'timothy_stanley', 'CJCHowarth', 'EuroGuido', 'vote_leave', 'muheedjeeran', 'childofthe60s', 'SJ_Powell', 'LouiseMensch', 'HankAndMarie', 'Dwalingen', 'paulmacandjanie', 'BabyJamieHudson', '__GriffCo__', 'EU_Buster', 'DavidJo52951945', 'ExposingBBC', 'bernerlap', 'Englishpapist', 'EuropeElects', 'nexitnews', 'BrexitFact', 'hws5mp', 'Daedalus6', 'LeaveEUOfficial', 'Vote_LeaveMedia', 'NathanGillMEP', 'davidburrowesmp', 'MarcusFysh', 'ThomasEvansGB', 'Mike_Fabricant', 'SteveBakerHW', 'TaleahPrince', 'oflynnmep', 'its_jessy_xoxo', 'DRDaleRoberts', 'itsmrsvickyc', 'BLAMWebsites', 'strikeitharry1', 'Ashley_Bullard', 'DKMatai', 'WeAreResource', 'fowl_original', 'terrylawes']","@Kat_Says_Stuff That can't be ascertained, can it? For the deal was signed and trade has ensued subsequently. In du… https://t.co/PJ9WUXe6eK",0,Sun Apr 08 23:23:56 +0000 2018
93,L,433,285,The official student campaign to vote to leave the EU on June 23rd. Sign up at http://www.studentsforbritain.org :) #VoteLeave #BeLeave,uniforbritain,False,en,False,Pacific Time (US & Canada),1064,4319,,Students for Britain,chair@studentsforbritain.org,Sun Dec 28 00:25:35 +0000 2014,521.0,http://pbs.twimg.com/profile_images/730142697013559296/e8aGdWHe_normal.jpg,BBC didn’t point out that just 6% of our businesses export to the EU - but all of them have to comply with EU rules.  #VoteLeave #bbcdebate,"['vote_leave', 'ChloeVotesLeave', 'beleaveuk']",deleted,deleted,deleted
94,N,3,0,"The latest breaking news, direct from the Sky News team. Tweet @skynews with any questions or queries.",SkyNewsBreak,False,en,True,London,34925,2151646,,Sky News Newsdesk,"London, UK",Wed Nov 04 11:25:45 +0000 2009,519.0,http://pbs.twimg.com/profile_images/596405103181062144/UEIEADT0_normal.png,U.S. Treasury Department: U.S. financial regulators discussed possibility of the UK leaving the European Union in a closed meeting #EUref,[],Patrick Reed has won his first golf major after holding off a final round challenge by his fellow American Rickie F… https://t.co/QIANxbVjv0,40,Sun Apr 08 22:40:09 +0000 2018
95,N,877,2,"Strategist on strategic geostrategic strategy. Self celebrated writer, self awarded award winner. Twitterist. Insightful. Interests: Current and other affairs",majorlyp,False,en,False,Amsterdam,10070,27420,,"DrMajorlyPhD, Expert",,Fri Jan 04 20:25:04 +0000 2013,517.0,http://pbs.twimg.com/profile_images/555053919076761600/Bo9uyv-r_normal.jpeg,What happened to Pippa's backside? Did Kate pop out another baby? British papers are getting distracted with #Brexit &amp, abdicating their duty,"@zoiatariq Nice DP, who is it?",1,Mon Jul 17 17:26:16 +0000 2017
96,R,1761,739,Scotland's largest political party and party of Government. Centre left and social democratic.,theSNP,True,en,True,Edinburgh,30540,141272,,The SNP,"Scotland, Europe",Sun Sep 27 20:19:48 +0000 2009,516.0,http://pbs.twimg.com/profile_images/567315062738927619/L7O41SAm_normal.jpeg,"Watch the #EUref #bbcdebate live now on BBC1, featuring @HumzaYousaf making the #VoteRemain case: https://t.co/O41tuxA7qA","['MumsnetTowers', 'NicolaSturgeon', 'HumzaYousaf', 'OwenThompson', 'GavinNewlandsMP', 'StephenGethins', 'DerekMackaySNP', 'christina014_']","To mark 100 years of women's suffrage, we're highlighting the women who make the SNP. https://t.co/OZxxrU68qS",71,Sun Apr 08 14:38:40 +0000 2018
97,L,4732,18545,"Disaffected Tory, Cameron is a traitor to his own people, so cannot support him.
They LIE, we deserve better.
#Brexit. Blog= http://ukrants.co.uk",uk_rants,False,en,False,London,32766,3799,,UK Rants,UK,Mon Feb 02 00:06:11 +0000 2015,516.0,http://pbs.twimg.com/profile_images/717841388382060544/74EowvUx_normal.jpg,"Bank of England reckons #Brexit is hazardous, or just that Goldman Sachs stooge Carney?
Can you SEE the con yet? https://t.co/A7rSALnmDE","['SocialistVoice', 'hen5269', 'Leavethe_EU', 'DJack_Journo', 'TMITGS', 'A_Liberty_Rebel', 'carelesscarer', 'jeanniejuno', 'LouiseMensch', 'NadineDorriesMP', 'DrTeckKhong']",RT @francesbarber13: Imagine your legacy was being thought of as an anti semite.  https://t.co/UUdGtdn8Pm,17,Mon Apr 09 00:57:06 +0000 2018
98,L,1064,22621,Social and political commentary from the Eurosceptic-in-Chief,MarcherLord1,False,en,False,Casablanca,120025,9285,,Marcher Lord,Pytchley Country,Tue Feb 14 08:41:29 +0000 2012,511.0,http://pbs.twimg.com/profile_images/670997745910550529/rfoC5RD9_normal.jpg,Welcome to your future #Remain  https://t.co/5MIvBzAJZ6,"['annietrev', 'MrBumpa', 'Freeas4bird', 'WholeLottaSusie', 'LOLHARE', 'brgdbrs', 'SkyNews', 'DanHannanMEP', 'Big__Kev', 'minefornothing', 'Dwalingen', 'terrylawes', 'montie', 'AppleWhor3', 'SThompsonIV', 'jennyriarchi', 'cmackinlay', 'BanTheBBC', 'BBCNews']","My week on Twitter 🎉: 2.28K Mentions, 1.09K Mention Reach, 14.1K Likes, 5.46K Retweets. See yours with… https://t.co/M6wg3zHNVM",1,Sun Apr 08 19:00:52 +0000 2018
99,L,7558,2221,"Named as a top UKIP twitter influencer to follow Mainly political tweets  UKIP Rope Parish Cllr. Former D.Ldr Cheshire E, Former Ldr,Mayor Crewe+Nantwich
#Trump",CllrBSilvester,True,en,False,London,71094,8206,,Cllr.Brian Silvester,Cheshire East,Fri Jun 10 12:48:10 +0000 2011,509.0,http://pbs.twimg.com/profile_images/3497267919/6988406a579fedd2d1fee1d9b98586f3_normal.jpeg,PM 'arrested' after he illegally uses 10 Downing Street for a #REMAIN broadcast during the purdah period of #EURef https://t.co/epxqhr93Bf,"['WorldSolidarity', 'ktf1965', 'AngloBeat', 'BrexitNoww', 'BearGardenMan', 'Legal_Poodle', 'thesundaytimes', 'LeaveEUOfficial', 'DominicFarrell', 'nanette0803', 'Dwalingen', 'ThomasEvansGB', 'andrealeadsom', 'OutandProudUK', 'scotpolitik', 'Fight4UK', 'Wheeler_Pol', 'sarahjanesewell', 'JePatriote', '2tweetaboutit', 'OFrancois60200', 'theordinaryman2', 'DirtyFrome', 'WhittleseyOne', 'terrylawes', 'flyingfury1940', 'gavthebrexit', 'LPerrins', 'Stop_The_EU', 'jdwtweet', 'Ironwand', 'Sideways_On', 'Jeansmart45Jean', 'BetterOffOut', 'nufcno1fan', '2010LeeHurst', 'LesleyMillercyp', 'DRoberts44', 'jennyriarchi', 'amara5500', 'davidwebb27', 'Roselady64', 'JuliaHB1', 'susanandjohnte1', 'ruraloutback', 'themsmint', 'BeeAHoney_', 'DbAshby', 'BuntyBagshawe', 'AtheistMayhem', 'oldbid45', 'annembee', 'TOVAOD', 'Charlton_UKIP', 'JoKer33817736', 'fifi_j', 'me4ukip', 'wisermonkeys', 'vote_leave', 'NathanGillMEP', 'BBCRealityCheck', 'lisa_alba', 'Mike_Fabricant', 'ToastersForever', 'geraldhowarth', 'uniforbritain']","RT @CllrBSilvester: Deport all convicted foreign nationals.
They should go straight from the Court to airport
If their home country won't a…",221,Sun Apr 08 18:45:51 +0000 2018
100,R,8100,24374,"Survivor of the Great Depression, RAF veteran & activist. Harry's Last Stand published by @iconbooks, & Love Among the Ruins out now in paperback.  .",Harryslaststand,True,en,False,London,40911,68439,,Harry Leslie Smith,United Kingdom,Thu Oct 28 17:23:16 +0000 2010,503.0,http://pbs.twimg.com/profile_images/466967124255072256/qlM2P2Lo_normal.jpeg,"Europe protects our rights to paid holiday, equal pay and maternity leave. Don’t put them at risk, vote #Remain #BBCdebate","['Andy4Manchester', 'UKLabour', 'Ekklesia_co_uk', 'CPJElmore', 'DaveRTaylor7', 'incrediblyEU', 'TolpuddleTim', 'yorkshirepost', 'broxtowelabour', 'BroxMomReading', 'MxJackMonroe', 'HistoryNeedsYou', 'susana_mendonca', 'KeeleyMP', 'StrongerIn', 'The_TUC']",I think we've established  your prefered brand of antisemitism is all Jews act as one entity. 2ndly your profile sa… https://t.co/Dw7JiEDp83,12,Sun Apr 08 23:14:13 +0000 2018
101,R,168,23,Florence Welch of Florence and the Machine.,flo_tweet,True,en,True,London,1850,903038,,florence welch,,Wed Jul 08 15:37:36 +0000 2009,501.0,http://pbs.twimg.com/profile_images/733290060460752896/YLrEbR1C_normal.jpg,ðŸŒ�â�¤ï¸� #referendum #remain xx https://t.co/HLt1NvpEAw,[],FIONA APPLE has recommended a book for us 🧜🏻‍♀️ head over to @BetweenTwoBooks for her choice. X https://t.co/Bt2HNJNlgg,118,Sun Apr 08 17:23:51 +0000 2018
102,L,118,0,"Former stand-up comedian. I make videos advocating secularism, democracy and free speech. I'm not on Facebook. All Facebook pages in my name are fake.",patcondell,False,en,False,London,7104,52966,,Pat Condell,London UK,Tue Mar 03 18:43:10 +0000 2009,494.0,http://pbs.twimg.com/profile_images/436422224329719808/Vw_s7ReJ_normal.jpeg,"The #EU was designed to neutralise democracy, to empower politicians at our expense, and to make them our rulers, not our servants.",[],"RT @realDonaldTrump: If President Obama had crossed his stated Red Line In The Sand, the Syrian disaster would have ended long ago! Animal…",19108,Sun Apr 08 13:52:49 +0000 2018
103,L,874,1449,"Libertarian. Not keen on socialism, bureaucracy or undemocratic institutions. All views my own. #VoteLeave",ChloeVotesLeave,False,en,False,Hawaii,12082,1540,,chloe westley,London,Tue Sep 01 06:31:11 +0000 2009,488.0,http://pbs.twimg.com/profile_images/687597752377819137/NIdpuUZk_normal.jpg,Jeremy Corbyn has said we can’t control inward migration if we’re in the EU...https://t.co/Q1vvxD9PMW #VoteLeave #bbcdebate,"['vote_leave', 'WomenforBritain', 'lawyers4britain', 'MartinDaubney', 'LiamFoxMP', 'jsdorset', 'sarahjanesewell', 'SteveBakerHW', 'cmackinlay', 'StarAnderton', 'Lab_Westbourne', 'DVATW', 'TellRanil', 'LouiseMensch', 'LondonCF', 'consforbritain']",deleted,deleted,deleted
104,R,110,5466,"The Chief Mouser to the Cabinet Office. I'm a 9 year old tabby, brought in to deal with the huge rat problems inherited from Labour. Unofficial.",Number10cat,False,en,False,London,11372,50017,,Larry the Cat,"Downing Street, Westminster",Tue Feb 15 11:00:56 +0000 2011,482.0,http://pbs.twimg.com/profile_images/1245113943/Larry_the_cat2_normal.jpg,"David Beckham's son worked in a cafe for Â£2.68 an hour; Nadine Dorries' daughter paid Â£40,000+ working for her... https://t.co/WMWmCDERfc",[],Happy #Caturday https://t.co/I4xRnu4Kin,460,Sat Apr 07 10:21:08 +0000 2018
105,R,11,81,"Official Twitter for Olivier Award nominated actor, Billie Piper.",billiepiper,True,en,True,London,512,458706,,Billie Piper,,Thu Jan 31 14:37:12 +0000 2013,481.0,http://pbs.twimg.com/profile_images/581913806185635840/YBqtHbiv_normal.jpg,I don’t want Britain to be like that one person at the party no one wants to talk to #BBCDebate #EUref #Strongerin #INtogether,[],@cgreensit Thank you !! x,0,Sat Apr 07 06:41:20 +0000 2018
106,R,8711,669,"`A long habit of not thinking a thing wrong, gives it a superficial appearance of being right.`- Tom Paine, 1737-1809.

Let's finish the democratic revolution!",TomLondon6,False,en,False,,24377,19968,,Tom London,London,Sat Oct 20 16:31:23 +0000 2012,478.0,http://pbs.twimg.com/profile_images/3493542115/6b5c4d4384c27004b701cc8811d58412_normal.jpeg,".@RuthDavidsonMSP very impressive in #BBCDebate IMO
Vote #Remain","['linndavis', 'JonnyValleyBoy', 'AdamWalkerGB']","RT @TomLondon6: What person or organisation has fomented the most hatred into British society over the last 30 years?
I suggest the top two…",149,Sun Apr 08 21:16:00 +0000 2018
107,N,1370,142,Leading Britain's Conversation. Call now on 0345 60 60 973.,LBC,True,en,True,London,82586,130830,,LBC,UK,Mon Feb 16 09:36:59 +0000 2009,477.0,http://pbs.twimg.com/profile_images/458917471219503104/HV9BOXwG_normal.jpeg,"In 90 minutes, @Nigel_Farage and Lord Heseltine go head to head on the #EURef on LBC https://t.co/a1Ab14HL9H https://t.co/zHeKlXcIW6","['LBC_Charlotte', 'StigAbell']",Leaked Home Office documents say police cuts “may have encouraged” violent offenders and have “likely contributed”… https://t.co/ajjklcn5Fs,15,Mon Apr 09 00:11:55 +0000 2018
108,L,539,250,"Serial Business Owner Entrepreneur, Extreme speed Skier, F1 loving, Rugby Nut, Polo playing and pup loving guy.  Vote Leave 23rd June for UK democracy",skipupextreme,False,en-gb,False,London,1518,161,,Vote Leave EU,Skiing or in the Boardroom ,Thu Feb 13 15:05:40 +0000 2014,472.0,http://pbs.twimg.com/profile_images/731192516972777472/HMiy3gX4_normal.jpg,No Dave Brits take back control like in 1945  https://t.co/ingZS9gSt9,"['LiamFoxMP', 'Dwalingen', 'chrisg0000', 'PoliticsSense', 'LeaveEUOfficial', 'VoteLeaveWD', 'vote_leave', 'Leavethe_EU', 'Arron_banks']",alain.baxter ripping it up on the slalom with Olympic bronze medalist Alain Baxter.    Smash it… https://t.co/sATbWO2lYL,0,Thu Jan 25 11:38:21 +0000 2018
109,L,5918,4990,"Altrincham Councillor on @TraffordCouncil | Chair @GMConservatives | Dep Chair @AltSaleCons | Pro-Europe, Anti-EU | Music & Poetry fan | My views/RTs theirs.",MatthewSephton,True,en,False,London,25509,7857,,Cllr Matthew Sephton,"Altrincham, Cheshire, England.",Sun Oct 25 10:25:13 +0000 2009,471.0,http://pbs.twimg.com/profile_images/732218932577370113/DaEeHs1s_normal.jpg,Another fantastic #Altrincham response for roadside @vote_leave campaign earlier. More tomorrow! #VoteLeave #EUref https://t.co/Epiugqc2k9,"['V_of_Europe', 'SteveBakerHW', 'vote_leave', 'jdwtweet', 'LiamFoxMP', 'Brianna_Bethany', 'LewisCallum', 'TraffordLocals', 'BLAMWebsites']",deleted,deleted,deleted
110,L,126,5807,Market Follower of Anglo Saxon descent - Global Macro & Politics. I reject the Europeanisation of Britain + much more mine.4nothing@gmail.com,minefornothing,True,en,False,London,117406,12913,,MineForNothing,,Thu Aug 20 15:42:13 +0000 2009,469.0,http://pbs.twimg.com/profile_images/378800000700058069/243c2ba58f529ddfe8d8154018bc2f5e_normal.png,"Be careful with these polls. When you look at the detail, you find all sorts of interesting things that do not get reported. #Brexit","['LouiseMensch', 'vote_leave', 'Livesquawk', 'WhiteWednesday', 'Daily_Express', 'SkyNews', 'JediEconomist', 'JamesDelingpole']",RT @L0gg0l: Unconfirmed reports of Russian air defense systems on high alert and fighter jets taking off from Hmeimim air base for surveill…,89,Sun Apr 08 17:29:56 +0000 2018
111,N,1119,1398,It’s our job to #GoThere and tell the most difficult stories. Come with us!,CNN,True,en,True,Eastern Time (US & Canada),89087,25866681,,CNN,,Fri Feb 09 00:35:02 +0000 2007,462.0,http://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,"#Brexit would be irreversible, Cameron warns voters https://t.co/NbYJv97PRM https://t.co/W2EScdJT38",['cnni'],"""Fittest woman on earth"" wins gold medal after family tragedy https://t.co/tn9oLryfxc https://t.co/oQe1NTxvTS",44,Mon Apr 09 00:50:07 +0000 2018
112,R,1703,120,"Deputy Director, Britain Stronger In Europe (@StrongerIn)",lucycthomas,True,en,False,Hawaii,2832,4634,,Lucy Thomas,London,Tue Feb 23 16:51:31 +0000 2010,462.0,http://pbs.twimg.com/profile_images/738435412700450820/vw0_xaeh_normal.jpg,"Team #remain absolutely nailed it tonight. Proved the Leave campaign have no plan &amp; the experts agree we're safer, better off &amp; #StrongerIn","['wdjstraw', 'StrongerInPress', 'StrongerIn', 'NsNrs1']","Good luck @Marthakearney!! #wato won’t be the same without you, but very much looking forward to waking up to you o… https://t.co/yaW9sQVpIT",0,Thu Mar 29 16:11:58 +0000 2018
113,N,967,283,Team Stream App - http://bleacherreport.com/mobile,br_uk,True,en,True,London,45466,160638,,Bleacher Report UK,Desktop,Mon Jul 01 17:51:17 +0000 2013,453.0,http://pbs.twimg.com/profile_images/626829263421992961/U5e8Akps_normal.png,David Beckham releases impassioned statement explaining why he is voting #Remain in the #Brexit referendum https://t.co/DLOCHqZGgJ,[],deleted,deleted,deleted
